"term","estimate","std.error","statistic","p.value","coef.type"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Agathobaculum",5.40333736373875,2.68100381859998,2.01541576563676,0.0438611038965159,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Agathobaculum.s__Agathobaculum_butyriciproducens",5.40333736373875,2.68100381859998,2.01541576563676,0.0438611038965159,"location"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae.g__Odoribacter",2.30884988085421,1.19478544643351,1.93243890586903,0.0533053558968096,"location"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae.g__Odoribacter.s__Odoribacter_splanchnicus",2.30884988085421,1.19478544643351,1.93243890586903,0.0533053558968096,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Anaerostipes.s__Anaerostipes_hadrus",1.38867645793011,0.75134118966029,1.84826344813863,0.0645642407208398,"location"
"k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila",8.72657034007518,4.94947832076095,1.76312931879526,0.0778786813608969,"location"
"k__Bacteria.p__Proteobacteria.c__Deltaproteobacteria.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Bilophila.s__Bilophila_wadsworthia",8.72657034007518,4.94947832076095,1.76312931879526,0.0778786813608969,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Anaerostipes",1.05357641774805,0.611131531323251,1.72397653164253,0.0847120799020054,"location"
"k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Caudovirales.f__Siphoviridae.g__Siphoviridae_unclassified.s__Lactococcus_phage_bIL310",10.4639438798241,6.08873988730015,1.71857298447741,0.085692154352069,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Pseudoflavonifractor",-27.7199656379847,16.3984300115029,-1.69040363123422,0.0909507608351634,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia.s__Blautia_obeum",1.83843571617024,1.10435669047502,1.66471189247695,0.0959702491998077,"location"
"k__Bacteria.p__Firmicutes",0.0443254899116993,0.0270821909095249,1.63670251272432,0.101692643702195,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_unclassified.s__Eubacterium_rectale",0.304077247335615,0.191082846592875,1.59133722758217,0.111533702995194,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnoclostridium.s__Clostridium_citroniae",-49.0776605089301,31.1379243817297,-1.57613782817607,0.114994042824559,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Lachnospiraceae_unclassified",0.299973267678498,0.191333344685704,1.56780444188259,0.116926777964703,"location"
"k__Bacteria.p__Firmicutes.c__Bacilli",0.261014529420437,0.170133207780526,1.53417744146192,0.124986005748765,"location"
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales",0.261014529420437,0.170133207780526,1.53417744146192,0.124986005748765,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.s__Roseburia_faecis",0.4632829616372,0.305114233702173,1.51839183644713,0.128915648432422,"location"
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus",0.479996103111711,0.32160543783679,1.49249996001405,0.135568127722563,"location"
