"microbe","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","threshold","level","irAEgroup"
"p__Actinobacteria",8574.41539679047,0.137939935586133,0.470557718527603,0.293141372790044,0.769414094166004,0.999999969320979,FALSE,"phylum","Yes"
"p__Bacteroidetes",135428.472660275,0.333348567649309,0.371257534228006,0.897890377746746,0.369243995055943,0.87270014587242,FALSE,"phylum","Yes"
"p__Candidatus_Melainabacteria",2.19837380956405,2.22265767485133,2.91246748982796,0.763152784576706,0.445372283379972,0.87270014587242,FALSE,"phylum","Yes"
"p__Deferribacteres",0,0,0,0,1,NA,NA,"phylum","No"
"p__Euryarchaeota",357.182603815984,-0.329152974138997,2.01887907118317,-0.163037488890355,0.870488917689997,0.999999969320979,FALSE,"phylum","No"
"p__Firmicutes",65913.2601075582,1.72852802410528e-10,0.00449546883186144,3.84504506371929e-08,0.999999969320979,0.999999969320979,FALSE,"phylum","Yes"
"p__Fusobacteria",0,0,0,0,1,NA,NA,"phylum","No"
"p__Lentisphaerae",0.124572813449722,-0.265763997665497,2.93601411764165,-0.0905186375190087,0.92787508415064,0.999999969320979,FALSE,"phylum","No"
"p__Proteobacteria",5508.42991055832,-0.431262722451752,0.617368599464233,-0.698549817444574,0.484833414373567,0.87270014587242,FALSE,"phylum","No"
"p__Synergistetes",0,0,0,0,1,NA,NA,"phylum","No"
"p__Verrucomicrobia",1643.90311919338,1.61994812034117,1.72747488933529,0.937754945291563,0.348370359861476,0.87270014587242,FALSE,"phylum","Yes"
"p__Viruses_unclassified",1551.47997641783,-0.829005799857731,0.696997026851907,-1.18939646500655,0.234283691232528,0.87270014587242,FALSE,"phylum","No"
"c__Actinobacteria",3024.31182087343,0.473095605951244,0.895855960926041,0.528093383965664,0.597434522592077,0.902169514005112,FALSE,"class","Yes"
"c__Alphaproteobacteria",0,0,0,0,1,NA,NA,"class","No"
"c__Bacilli",2508.07086602072,0.386354114939563,0.700108642542246,0.551848800975557,0.581051948925045,0.902169514005112,FALSE,"class","Yes"
"c__Bacteroidia",159087.056572013,0.606568504745366,0.417434210494903,1.45308767105175,0.146199413733927,0.869985999969841,FALSE,"class","Yes"
"c__Betaproteobacteria",1137.3900436972,1.49373056694534,1.14832536567199,1.30079036098905,0.19333022221552,0.869985999969841,FALSE,"class","Yes"
"c__Candidatus_Melainabacteria_unclassified",1.86508334848933,2.04236385640517,2.91301424361359,0.701117016809235,0.483229991460684,0.902169514005112,FALSE,"class","Yes"
"c__Clostridia",54146.2075199997,1.50706838248024e-09,0.0133753201554563,1.12675312812266e-07,0.999999910098108,0.999999910098108,FALSE,"class","Yes"
"c__Coriobacteriia",4426.95463309328,-0.213282347109271,0.556809510321556,-0.383043649858102,0.701687399781754,0.902169514005112,FALSE,"class","No"
"c__Deferribacteres",0,0,0,0,1,NA,NA,"class","No"
"c__Deltaproteobacteria",421.069631395627,0.973104057813896,1.06088848835612,0.917253857021066,0.359009630836192,0.902169514005112,FALSE,"class","Yes"
"c__Epsilonproteobacteria",0.180385397701394,-1.32199750875584,2.93284315142027,-0.450756293638018,0.652165204917606,0.902169514005112,FALSE,"class","No"
"c__Erysipelotrichia",509.570839660096,-0.13155285763434,0.70066307599439,-0.187754802759712,0.851068867736813,0.957452476203915,FALSE,"class","No"
"c__Firmicutes_unclassified",2355.31634586494,0.312833077261962,0.733227631461584,0.426652057067701,0.669632775242217,0.902169514005112,FALSE,"class","Yes"
"c__Fusobacteriia",0,0,0,0,1,NA,NA,"class","No"
"c__Gammaproteobacteria",4596.91092282206,-2.20191213309163,1.02942397994584,-2.13897497628477,0.0324376950523835,0.379818079347985,FALSE,"class","No"
"c__Lentisphaeria",0.10841954434616,-0.208410819946575,2.93580828419547,-0.0709892471754803,0.943406313410759,0.998900802434922,FALSE,"class","No"
"c__Methanobacteria",326.971018815889,-0.385108768060319,1.88057511319534,-0.204782444135385,0.837742103890034,0.957452476203915,FALSE,"class","No"
"c__Negativicutes",3015.07663008559,-1.18085573356853,0.581266351930272,-2.03152260516566,0.0422020088164428,0.379818079347985,FALSE,"class","No"
"c__Proteobacteria_unclassified",661.874565833032,-0.947157744478486,1.85984237237539,-0.509267752228259,0.610564558445379,0.902169514005112,FALSE,"class","No"
"c__Synergistia",0,0,0,0,1,NA,NA,"class","No"
"c__Thermoplasmata",0,0,0,0,1,NA,NA,"class","No"
"c__Verrucomicrobiae",1484.76116135378,1.58816882586623,1.78112326020089,0.891666995403286,0.372571448968487,0.902169514005112,FALSE,"class","Yes"
"c__Viruses_unclassified",1200.71150377012,-0.62275347356248,0.665716875867827,-0.935462951499705,0.349549767781206,0.902169514005112,FALSE,"class","No"
"o__Acidaminococcales",1965.62968946437,-1.57288812970784,0.983436825911816,-1.59937892121286,0.109736433026237,0.818836185047653,FALSE,"order","No"
"o__Actinomycetales",2.58132187997014,0.213412376411829,2.60019778518399,0.0820754396561137,0.934586723532067,0.978347287981528,FALSE,"order","Yes"
"o__Aeromonadales",0.54871366928565,-2.65882499856547,2.92321041595655,-0.909556487638416,0.363056454794973,0.948363688283423,FALSE,"order","No"
"o__Bacteroidales",159087.056572013,0.606568507608963,0.417456288318055,1.45301082911662,0.146220747329938,0.818836185047653,FALSE,"order","Yes"
"o__Bifidobacteriales",3002.91595098864,0.484858353674259,0.95925497904645,0.505453048736044,0.613240667379514,0.978347287981528,FALSE,"order","Yes"
"o__Burkholderiales",1137.3900436972,1.49373237282288,1.16738561169052,1.27955352358658,0.200702204240843,0.936610286457266,FALSE,"order","Yes"
"o__Campylobacterales",0.180385397701394,-1.32199750875584,2.93284315142027,-0.450756293638018,0.652165204917606,0.978347287981528,FALSE,"order","No"
"o__Candidatus_Gastranaerophilales",1.86508334848933,2.04236385640517,2.91301424361359,0.701117016809235,0.483229991460684,0.978347287981528,FALSE,"order","Yes"
"o__Caudovirales",1132.98505348611,-0.721190530013042,0.722905909213405,-0.99762710585361,0.318460212140059,0.948363688283423,FALSE,"order","No"
"o__Clostridiales",54146.2075199997,1.39539299294972e-09,0.0128714738526142,1.0840972905883e-07,0.999999913501551,0.999999913501551,FALSE,"order","Yes"
"o__Coriobacteriales",3697.75234399015,-0.201526265802508,0.862937922941268,-0.233535067175654,0.815345942558472,0.978347287981528,FALSE,"order","No"
"o__Corynebacteriales",0,0,0,0,1,NA,NA,"order","No"
"o__Deferribacterales",0,0,0,0,1,NA,NA,"order","No"
"o__Desulfovibrionales",421.069631395627,0.973105442260715,1.05400234966575,0.923247887036789,0.355878038650066,0.948363688283423,FALSE,"order","Yes"
"o__Eggerthellales",729.202289103132,-0.272961068984886,0.734348320824022,-0.371705172115861,0.710112373711708,0.978347287981528,FALSE,"order","No"
"o__Enterobacterales",4575.45400855852,-2.22151700636945,1.09459088525106,-2.02954093287549,0.0424032241979378,0.593645138771129,FALSE,"order","No"
"o__Erysipelotrichales",509.570839660096,-0.13155540033725,0.699285187290277,-0.188128395579242,0.850776002047436,0.978347287981528,FALSE,"order","No"
"o__Firmicutes_unclassified",2355.31634586494,0.312829748289368,0.748840291020658,0.417752292498826,0.6761282349131,0.978347287981528,FALSE,"order","Yes"
"o__Fusobacteriales",0,0,0,0,1,NA,NA,"order","No"
"o__Herpesvirales",1.74653037302848,4.24924029116881,2.92036759152201,1.45503610692866,0.145659265801816,0.818836185047653,FALSE,"order","Yes"
"o__Lactobacillales",2508.07086602072,0.386353185161165,0.714443783578363,0.540774787382258,0.588662822971923,0.978347287981528,FALSE,"order","Yes"
"o__Methanobacteriales",326.971018815889,-0.38510584121023,1.84839449780029,-0.208346130476222,0.834958714927616,0.978347287981528,FALSE,"order","No"
"o__Methanomassiliicoccales",0,0,0,0,1,NA,NA,"order","No"
"o__Micrococcales",0.34387817546883,2.11571711087028,2.92883272988787,0.722375535236278,0.470063624010512,0.978347287981528,FALSE,"order","Yes"
"o__Ortervirales",47.10727396238,0.92876371405054,2.89410293069467,0.320915923272849,0.748274106632291,0.978347287981528,FALSE,"order","Yes"
"o__Pasteurellales",1.06832013969957,-2.74579414404273,2.91843192363959,-0.940845706148402,0.346783934409205,0.948363688283423,FALSE,"order","No"
"o__Propionibacteriales",0,0,0,0,1,NA,NA,"order","No"
"o__Proteobacteria_unclassified",661.874565833032,-0.947160741828948,1.76202409061846,-0.537541312216964,0.590893756451196,0.978347287981528,FALSE,"order","No"
"o__Pseudomonadales",0.0627921064835213,0.731126824322337,2.93562127872698,0.249053523906663,0.803319379384869,0.978347287981528,FALSE,"order","Yes"
"o__Rhodospirillales",0,0,0,0,1,NA,NA,"order","No"
"o__Selenomonadales",7.50205447512753,6.30789562438353,2.91769751158295,2.16194297021602,0.0306225723106577,0.593645138771129,FALSE,"order","Yes"
"o__Synergistales",0,0,0,0,1,NA,NA,"order","No"
"o__Veillonellales",607.598689156544,0.126079695354094,1.1659026364541,0.108139128784841,0.913885329849316,0.978347287981528,FALSE,"order","Yes"
"o__Verrucomicrobiales",1484.76116135378,1.58816882586623,1.78112326020089,0.891666995403286,0.372571448968487,0.948363688283423,FALSE,"order","Yes"
"o__Victivallales",0.10841954434616,-0.208410819946575,2.93580828419547,-0.0709892471754803,0.943406313410759,0.978347287981528,FALSE,"order","No"
"o__Viruses_unclassified",0,0,0,0,1,NA,NA,"order","No"
"f__Acidaminococcaceae",2274.74257819319,-1.72971626810187,0.997781883314162,-1.73356150981271,0.0829959148247771,0.995428604300712,FALSE,"family","No"
"f__Actinomycetaceae",4.44872474323673,1.39427321180848,2.59958099923461,0.536345361894474,0.591719885445367,0.995428604300712,FALSE,"family","Yes"
"f__Aeromonadaceae",0.418117638303018,-2.20507162654322,2.92454378836807,-0.753988240939854,0.450856282691003,0.995428604300712,FALSE,"family","No"
"f__Akkermansiaceae",1490.31561767626,1.68775734530667,1.78528713818456,0.945370248408852,0.344469885791533,0.995428604300712,FALSE,"family","Yes"
"f__Bacteroidaceae",102298.78567607,0.235191223771956,0.424493343789729,0.55405161756425,0.579543520472234,0.995428604300712,FALSE,"family","Yes"
"f__Barnesiellaceae",1178.85607588591,-0.700759731800552,1.63608603147716,-0.428314720814443,0.668422002831044,0.995428604300712,FALSE,"family","No"
"f__Bifidobacteriaceae",2248.55009016645,0.0108299368703835,0.940599486677027,0.0115138664477096,0.990813466701782,0.997932239033614,FALSE,"family","Yes"
"f__Campylobacteraceae",0.27938363555372,-1.56080218640132,2.92931154445489,-0.532822187983343,0.594156673093817,0.995428604300712,FALSE,"family","No"
"f__Candidatus_Gastranaerophilales_unclassified",2.16458253589287,2.421667144923,2.9130146444179,0.831326800764132,0.405789038268873,0.995428604300712,FALSE,"family","Yes"
"f__Caudovirales_unclassified",0.432459535275338,2.54313504844688,2.92718787125097,0.868798027425563,0.384957612239871,0.995428604300712,FALSE,"family","Yes"
"f__Christensenellaceae",0.0867193793069902,0.941065617217023,2.93513507875814,0.320620888635623,0.748497705845548,0.995428604300712,FALSE,"family","Yes"
"f__Clostridiaceae",2110.27078417816,0.136996815810119,0.61642723502825,0.222243288461842,0.824124497293993,0.995428604300712,FALSE,"family","Yes"
"f__Clostridiales_Family_XIII_Incertae_Sedis",0.169686791929818,-1.17009925309953,2.93177545109727,-0.399109438160279,0.689812568203901,0.995428604300712,FALSE,"family","No"
"f__Clostridiales_unclassified",1232.776222939,-0.211065671809021,0.618603503742491,-0.341197019629041,0.732955266808712,0.995428604300712,FALSE,"family","No"
"f__Comamonadaceae",0,0,0,0,1,NA,NA,"family","No"
"f__Coriobacteriaceae",3382.37452392399,0.151306625958425,0.860178579364111,0.175901411158458,0.860371396694241,0.995428604300712,FALSE,"family","Yes"
"f__Corynebacteriaceae",0,0,0,0,1,NA,NA,"family","No"
"f__Deferribacteraceae",0,0,0,0,1,NA,NA,"family","No"
"f__Desulfovibrionaceae",414.883229837904,0.98344709206106,1.00938759603613,0.974300750200476,0.329907232283245,0.995428604300712,FALSE,"family","Yes"
"f__Dysgonamonadaceae",0.0458766995627222,0.746658347214933,2.93550674615135,0.254354158168382,0.799221963002451,0.995428604300712,FALSE,"family","Yes"
"f__Eggerthellaceae",724.307170006496,-0.00183677183461155,0.708752255178635,-0.00259155695264576,0.997932239033614,0.997932239033614,FALSE,"family","No"
